 from   to   via     T_slow    T_thermal     mfp_s       mfp_t    
  2194  2194    15   0.000E+00   0.000E+00   2.275E-08   2.275E-08
  2194  2009    15   1.892E-45   1.892E-45   2.275E-08   2.275E-08
  2194    54    15   3.951E-45   3.951E-45   2.275E-08   2.275E-08
  2009  2194    15   4.344E-45   4.344E-45   2.275E-08   2.275E-08
  2009  2009    15   0.000E+00   0.000E+00   2.275E-08   2.275E-08
  2009    54    15   1.498E-45   1.498E-45   2.275E-08   2.275E-08
    54  2194    15   5.015E-45   5.015E-45   2.275E-08   2.275E-08
    54  2009    15   8.281E-46   8.281E-46   2.275E-08   2.275E-08
    54    54    15   0.000E+00   0.000E+00   2.275E-08   2.275E-08
  2004  2004    16   0.000E+00   0.000E+00   3.460E-09   3.460E-09
  2004  2167    16   4.457E-45   4.457E-45   3.460E-09   3.460E-09
  2004   106    16   1.386E-45   1.386E-45   3.460E-09   3.460E-09
  2167  2004    16   4.431E-45   4.431E-45   3.460E-09   3.460E-09
  2167  2167    16   0.000E+00   0.000E+00   3.460E-09   3.460E-09
  2167   106    16   1.412E-45   1.412E-45   3.460E-09   3.460E-09
   106  2004    16   2.886E-45   2.886E-45   3.460E-09   3.460E-09
   106  2167    16   2.957E-45   2.957E-45   3.460E-09   3.460E-09
   106   106    16   0.000E+00   0.000E+00   3.460E-09   3.460E-09
  2009  2009    17   0.000E+00   0.000E+00   2.275E-08   2.275E-08
  2009    92    17   9.855E-46   9.855E-46   2.275E-08   2.275E-08
  2009    14    17   4.857E-45   4.857E-45   2.275E-08   2.275E-08
    92  2009    17   1.487E-45   1.487E-45   2.275E-08   2.275E-08
    92    92    17   0.000E+00   0.000E+00   2.275E-08   2.275E-08
    92    14    17   4.356E-45   4.356E-45   2.275E-08   2.275E-08
